id,mot,contains,restant
423,suippe,0,27452
424,nazaire,0,27452
425,blanc,3,27449
426,h,6,27443
427,ormoy,4,27439
428,blangy,1,27438
429,jonquieres,5,27433
430,viviers,3,27430
431,sernin,0,27430
432,sauveterre,5,27425
433,mazerolles,6,27419
434,martinla,0,27419
435,nanteuil,3,27416
436,selle,4,27412
437,therain,0,27412
438,condat,2,27410
439,vanne,1,27409
440,ham,3,27406
441,champeaux,5,27401
442,montagny,3,27398
443,vives,1,27397
444,samson,1,27396
445,surhers,3,27393
446,loison,1,27392
447,vaast,0,27392
448,cour,1,27391
449,mouzon,2,27389
450,adour,1,27388
451,mortagne,1,27387
452,quincy,4,27383
453,sept,4,27379
454,dessous,3,27376
455,bagneux,6,27370
456,genis,1,27369
457,vallier,0,27369
458,colombiers,5,27364
459,remilly,4,27360
460,grandchamp,5,27355
461,faye,2,27353
462,batie,4,27349
463,passy,4,27345
464,pommiers,6,27339
465,estrees,3,27336
466,murat,3,27333
467,cernay,5,27328
468,conteville,5,27323
469,rouvroy,3,27320
470,rouge,4,27316
471,rivieres,5,27311
472,villette,4,27307
473,monchy,4,27303
474,cours,4,27299
475,mas,4,27295
476,iton,0,27295
477,pierrepont,4,27291
478,mary,1,27290
479,bellevue,2,27288
480,front,0,27288
481,maizieres,5,27283
482,aure,4,27279
483,marolles,4,27275
484,aumont,4,27271
485,chevannes,5,27266
486,bresle,1,27265
487,moulin,1,27264
488,cere,1,27263
489,dordogne,0,27263
490,montrond,3,27260
491,auvers,2,27258
492,villotte,1,27257
493,vic,2,27255
494,tours,4,27251
495,gourdon,4,27247
496,faux,6,27241
497,cyprien,0,27241
498,vitrac,3,27238
499,bellefontaine,5,27233
500,arize,0,27233
501,launay,1,27232
502,serignac,4,27228
503,bailly,4,27224
504,grainville,3,27221
505,serein,0,27221
506,beaujeu,3,27218
507,charny,3,27215
508,vitry,1,27214
509,prunet,4,27210
510,cahuzac,3,27207
511,authieux,3,27204
512,montastruc,4,27200
513,epte,0,27200
514,mailly,3,27197
515,bernac,3,27194
516,maisoncelles,3,27191
517,rupt,1,27190
518,epine,3,27187
519,urville,5,27182
520,grez,2,27180
521,lignerolles,5,27175
522,nesle,4,27171
523,arc,0,27171
524,garde,5,27166
525,fere,2,27164
526,nancy,2,27162
527,berneuil,4,27158
528,bouille,4,27154
529,florent,0,27154
530,mornay,3,27151
531,longeville,3,27148
532,couesnon,0,27148
533,leze,0,27148
534,montignac,4,27144
535,roches,4,27140
536,couze,0,27140
537,flavigny,2,27138
538,nantes,5,27133
539,autreville,3,27130
540,abergement,2,27128
541,dive,0,27128
542,crocq,2,27126
543,puget,3,27123
544,simeon,0,27123
545,surdoubs,3,27120
546,entre,1,27119
547,orb,0,27119
548,hopital,2,27117
549,beauregard,4,27113
550,montaigu,4,27109
551,prix,0,27109
552,chatelet,1,27108
553,gouy,3,27105
554,etoile,2,27103
555,beaurepaire,4,27099
556,metz,4,27095
557,vesle,0,27095
558,villez,2,27093
559,erdre,0,27093
560,braux,3,27090
561,morville,2,27088
562,poggio,2,27086
563,argenton,1,27085
564,montagnac,3,27082
565,terre,2,27080
566,montaigut,2,27078
567,artigues,4,27074
568,belval,4,27070
569,surognon,4,27066
570,lyon,4,27062
571,villy,2,27060
572,naves,5,27055
573,chavannes,3,27052
574,boncourt,4,27048
575,epagny,5,27043
576,perigny,5,27038
577,lucy,3,27035
578,coise,1,27034
579,boisset,3,27031
580,marc,0,27031
581,yon,0,27031
582,poix,2,27029
583,landes,2,27027
584,sauldre,0,27027
585,change,5,27022
586,verdun,2,27020
587,viry,4,27016
588,trie,1,27015
589,changy,3,27012
590,argens,1,27011
591,lespinasse,1,27010
592,perrigny,2,27008
593,montclar,3,27005
594,jussy,4,27001
595,poligny,4,26997
596,roquefort,3,26994
597,buchy,2,26992
598,comps,4,26988
599,chilly,4,26984
600,cabanac,2,26982
601,presles,3,26979
602,vilaine,0,26979
603,souvigne,3,26976
